stimulus_name,speech_rate,pitch_mean,pitch_sd,FL_ratio,AL_ratio,combined_ratio
M7-L2_C1_4_L1_4-int,5.312944249915753,6.0741750443238125,2.296426736838762,1.2340562640021957,1.033877310074862,1.1382148021585738
M7-L2_C1_4_L1_4-int-dur,5.312944249915753,6.0741750443238125,2.296426736838762,1.4812420047372343,1.0017603829305564,1.312803836907816
M7-L2_C1_4_L1_4-int-rate,5.812371878514271,6.187955113683547,2.1634102119652856,1.2340562640021948,1.0338773100748626,1.1382148021585743
M7-L2_C1_4_L1_4-int-dur-rate,5.812371878514271,6.258107160972059,2.0862859903472843,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_C1_4_L1_4-dur,5.312944249915753,5.99176908990991,1.4293290558086256,1.4812420047372343,1.0017603829305564,1.312803836907816
M7-L2_C1_4_L1_4-dur-rate,5.812371878514271,6.217563433778297,0.9089935202577935,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_C1_4_L1_4-rate,5.812371878514271,6.15088987613289,1.1048496094680038,1.2340562640021948,1.0338773100748626,1.1382148021585743
M7-L2_B1_5_B1_4-int-dur-rate,4.147312820268542,6.332098253301899,1.1359215548708583,1.5419752131296172,1.2829466729287717,1.2848409085644272
M7-L2_B1_5_L1_4-int,3.839933476386756,6.228050217162224,2.3385122143027095,1.7060056567485,1.3926981958329612,1.370147252733563
M7-L2_B1_5_L1_4-int-dur,3.839933476386756,6.228050217162224,2.3385122143027095,1.4812420047372339,1.001760382930555,1.312803836907814
M7-L2_B1_5_L1_4-int-rate,5.812371878514271,6.925269774112854,1.655939854631111,1.7060056567485005,1.3926981958329603,1.3701472527335623
M7-L2_B1_5_L1_4-int-dur-rate,5.812371878514271,6.925269774112854,1.655939854631111,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_B1_5_L1_4-dur,3.839933476386756,6.096981082420004,1.069272745364887,1.4812420047372339,1.001760382930555,1.312803836907814
M7-L2_B1_5_L1_4-dur-rate,5.812371878514271,6.219712632836221,0.8906676606232913,1.4812420047372339,1.001760382930556,1.312803836907815
M7-L2_B1_5_L1_4-rate,5.812371878514271,6.227135659385672,0.8956556476705674,1.7060056567485005,1.3926981958329603,1.3701472527335623
M7-L2_C1_5_C1_4-int-dur-rate,5.312944249915753,5.410724233803858,0.7998065943375587,1.2340562640021957,1.033877310074862,1.1382148021585738
M7-L2_C1_5_L1_4-int,4.57119636806507,5.247496088140544,2.0812191053233042,1.3872765813345447,1.0304764218252533,1.1843679184466358
